Financial year,State.1,Unit,Value
1998-99,New South Wales,Percent change,0
1998-99,Queensland,Percent change,0
1998-99,South Australia,Percent change,0
1998-99,Victoria,Percent change,0
1999-00,New South Wales,Percent change,2
1999-00,Queensland,Percent change,4
1999-00,South Australia,Percent change,11
1999-00,Victoria,Percent change,0
2000-01,New South Wales,Percent change,3
2000-01,Queensland,Percent change,10
2000-01,South Australia,Percent change,33
2000-01,Victoria,Percent change,0
2001-02,New South Wales,Percent change,1
2001-02,Queensland,Percent change,18
2001-02,South Australia,Percent change,36
2001-02,Victoria,Percent change,4
2002-03,New South Wales,Percent change,1
2002-03,Queensland,Percent change,27
2002-03,South Australia,Percent change,39
2002-03,Victoria,Percent change,5
2003-04,New South Wales,Percent change,3
2003-04,Queensland,Percent change,28
2003-04,South Australia,Percent change,39
2003-04,Victoria,Percent change,3
2004-05,New South Wales,Percent change,1
2004-05,Queensland,Percent change,30
2004-05,South Australia,Percent change,44
2004-05,Victoria,Percent change,4
2005-06,New South Wales,Percent change,3
2005-06,Queensland,Percent change,34
2005-06,South Australia,Percent change,44
2005-06,Victoria,Percent change,4
2006-07,New South Wales,Percent change,2
2006-07,Queensland,Percent change,45
2006-07,South Australia,Percent change,51
2006-07,Victoria,Percent change,7
2007-08,New South Wales,Percent change,4
2007-08,Queensland,Percent change,40
2007-08,South Australia,Percent change,59
2007-08,Victoria,Percent change,4
2008-09,New South Wales,Percent change,12
2008-09,Queensland,Percent change,50
2008-09,South Australia,Percent change,71
2008-09,Victoria,Percent change,5
2009-10,New South Wales,Percent change,13
2009-10,Queensland,Percent change,56
2009-10,South Australia,Percent change,70
2009-10,Victoria,Percent change,7
2010-11,New South Wales,Percent change,19
2010-11,Queensland,Percent change,59
2010-11,South Australia,Percent change,83
2010-11,Victoria,Percent change,8
2011-12,New South Wales,Percent change,16
2011-12,Queensland,Percent change,59
2011-12,South Australia,Percent change,79
2011-12,Victoria,Percent change,17
2012-13,New South Wales,Percent change,16
2012-13,Queensland,Percent change,58
2012-13,South Australia,Percent change,71
2012-13,Victoria,Percent change,21
2013-14,New South Wales,Percent change,10
2013-14,Queensland,Percent change,45
2013-14,South Australia,Percent change,82
2013-14,Victoria,Percent change,18
2014-15,New South Wales,Percent change,10
2014-15,Queensland,Percent change,45
2014-15,South Australia,Percent change,82
2014-15,Victoria,Percent change,21
2015-16,New South Wales,Percent change,11
2015-16,Queensland,Percent change,49
2015-16,South Australia,Percent change,63
2015-16,Victoria,Percent change,18
2016-17,New South Wales,Percent change,8
2016-17,Queensland,Percent change,48
2016-17,South Australia,Percent change,73
2016-17,Victoria,Percent change,4
2017-18,New South Wales,Percent change,12
2017-18,Queensland,Percent change,54
2017-18,South Australia,Percent change,100
2017-18,Victoria,Percent change,8
2018-19,New South Wales,Percent change,15
2018-19,Queensland,Percent change,75
2018-19,South Australia,Percent change,109
2018-19,Victoria,Percent change,17
2019-20,New South Wales,Percent change,18
2019-20,Queensland,Percent change,82
2019-20,South Australia,Percent change,116
2019-20,Victoria,Percent change,25
2020-21,New South Wales,Percent change,28
2020-21,Queensland,Percent change,77
2020-21,South Australia,Percent change,114
2020-21,Victoria,Percent change,34
