id,year,State,Unit,Value
1,16/12/2018,New South Wales,$/MWh),100
2,19/02/2017,New South Wales,$/MWh),100
3,23/04/2017,New South Wales,$/MWh),100
4,23/07/2017,New South Wales,$/MWh),100
5,30/07/2017,New South Wales,$/MWh),101
6,15/09/2019,New South Wales,$/MWh),102
7,15/12/2013,New South Wales,$/MWh),102
8,16/04/2017,New South Wales,$/MWh),102
9,17/06/2018,New South Wales,$/MWh),102
10,19/08/2018,New South Wales,$/MWh),103
11,30/04/2017,New South Wales,$/MWh),106
12,14/10/2018,New South Wales,$/MWh),108
13,15/11/2020,New South Wales,$/MWh),110
14,20/08/2017,New South Wales,$/MWh),110
15,26/03/2017,New South Wales,$/MWh),110
16,29/09/2019,New South Wales,$/MWh),110
17,12/2/2017,New South Wales,$/MWh),111
18,3/2/2019,New South Wales,$/MWh),112
19,6/10/2019,New South Wales,$/MWh),113
20,2/4/2017,New South Wales,$/MWh),114
21,27/10/2019,New South Wales,$/MWh),114
22,3/7/2016,New South Wales,$/MWh),115
23,9/4/2017,New South Wales,$/MWh),115
24,29/01/2017,New South Wales,$/MWh),116
25,22/09/2019,New South Wales,$/MWh),119
26,26/08/2018,New South Wales,$/MWh),119
27,27/08/2017,New South Wales,$/MWh),119
28,20/06/2021,New South Wales,$/MWh),120
29,25/08/2019,New South Wales,$/MWh),121
30,20/01/2019,New South Wales,$/MWh),122
31,26/06/2016,New South Wales,$/MWh),126
32,19/03/2017,New South Wales,$/MWh),127
33,20/09/2015,New South Wales,$/MWh),128
34,2/9/2018,New South Wales,$/MWh),131
35,2/6/2019,New South Wales,$/MWh),139
36,29/05/2016,New South Wales,$/MWh),145
37,13/01/2019,New South Wales,$/MWh),147
38,13/11/2016,New South Wales,$/MWh),150
39,17/01/2010,New South Wales,$/MWh),154
40,22/11/2009,New South Wales,$/MWh),156
41,23/05/2021,New South Wales,$/MWh),159
42,3/6/2018,New South Wales,$/MWh),160
43,27/01/2019,New South Wales,$/MWh),165
44,13/12/2009,New South Wales,$/MWh),198
45,21/12/2008,New South Wales,$/MWh),20
46,13/12/2020,New South Wales,$/MWh),205
47,13/06/2021,New South Wales,$/MWh),209
48,19/12/2010,New South Wales,$/MWh),21
49,16/05/2021,New South Wales,$/MWh),215
50,24/10/2010,New South Wales,$/MWh),22
51,31/10/2010,New South Wales,$/MWh),22
52,7/3/2010,New South Wales,$/MWh),22
53,8/1/2012,New South Wales,$/MWh),22
54,1/3/2009,New South Wales,$/MWh),23
55,10/10/2010,New South Wales,$/MWh),23
56,12/12/2010,New South Wales,$/MWh),23
57,14/11/2010,New South Wales,$/MWh),23
58,14/12/2008,New South Wales,$/MWh),23
59,16/08/2009,New South Wales,$/MWh),23
60,25/04/2010,New South Wales,$/MWh),23
61,28/02/2010,New South Wales,$/MWh),23
62,28/11/2010,New South Wales,$/MWh),23
63,3/10/2010,New South Wales,$/MWh),23
64,4/3/2012,New South Wales,$/MWh),23
65,4/4/2010,New South Wales,$/MWh),23
66,8/3/2009,New South Wales,$/MWh),23
67,30/05/2021,New South Wales,$/MWh),230
68,11/7/2010,New South Wales,$/MWh),24
69,12/9/2010,New South Wales,$/MWh),24
70,17/10/2010,New South Wales,$/MWh),24
71,18/04/2010,New South Wales,$/MWh),24
72,19/09/2010,New South Wales,$/MWh),24
73,2/5/2010,New South Wales,$/MWh),24
74,21/11/2010,New South Wales,$/MWh),24
75,25/12/2011,New South Wales,$/MWh),24
76,26/12/2010,New South Wales,$/MWh),24
77,27/12/2009,New South Wales,$/MWh),24
78,28/03/2010,New South Wales,$/MWh),24
79,28/12/2008,New South Wales,$/MWh),24
80,29/11/2009,New South Wales,$/MWh),24
81,30/08/2009,New South Wales,$/MWh),24
82,5/12/2010,New South Wales,$/MWh),24
83,7/11/2010,New South Wales,$/MWh),24
84,6/6/2021,New South Wales,$/MWh),249
85,13/06/2010,New South Wales,$/MWh),25
86,15/01/2012,New South Wales,$/MWh),25
87,15/02/2009,New South Wales,$/MWh),25
88,15/08/2010,New South Wales,$/MWh),25
89,20/09/2009,New South Wales,$/MWh),25
90,22/03/2009,New South Wales,$/MWh),25
91,23/08/2009,New South Wales,$/MWh),25
92,24/04/2011,New South Wales,$/MWh),25
93,26/09/2010,New South Wales,$/MWh),25
94,27/03/2011,New South Wales,$/MWh),25
95,29/08/2010,New South Wales,$/MWh),25
96,5/9/2010,New South Wales,$/MWh),25
97,7/12/2008,New South Wales,$/MWh),25
