id,Quarter ending,State,Unit,Value
1,1999 Q1,New South Wales,$ per megawatt hour,21
2,1999 Q1,Queensland,$ per megawatt hour,93
3,1999 Q1,South Australia,$ per megawatt hour,61
4,1999 Q1,Victoria,$ per megawatt hour,25
5,1999 Q2,New South Wales,$ per megawatt hour,29
6,1999 Q2,Queensland,$ per megawatt hour,31
7,1999 Q2,South Australia,$ per megawatt hour,50
8,1999 Q2,Victoria,$ per megawatt hour,29
9,1999 Q3,New South Wales,$ per megawatt hour,25
10,1999 Q3,Queensland,$ per megawatt hour,32
11,1999 Q3,South Australia,$ per megawatt hour,53
12,1999 Q3,Victoria,$ per megawatt hour,23
13,1999 Q4,New South Wales,$ per megawatt hour,19
14,1999 Q4,Queensland,$ per megawatt hour,28
15,1999 Q4,South Australia,$ per megawatt hour,77
16,1999 Q4,Victoria,$ per megawatt hour,18
17,2000 Q1,New South Wales,$ per megawatt hour,35
18,2000 Q1,Queensland,$ per megawatt hour,77
19,2000 Q1,South Australia,$ per megawatt hour,90
20,2000 Q1,Victoria,$ per megawatt hour,29
21,2000 Q2,New South Wales,$ per megawatt hour,42
22,2000 Q2,Queensland,$ per megawatt hour,58
23,2000 Q2,South Australia,$ per megawatt hour,54
24,2000 Q2,Victoria,$ per megawatt hour,41
25,2000 Q3,New South Wales,$ per megawatt hour,49
26,2000 Q3,Queensland,$ per megawatt hour,44
27,2000 Q3,South Australia,$ per megawatt hour,60
28,2000 Q3,Victoria,$ per megawatt hour,54
29,2000 Q4,New South Wales,$ per megawatt hour,27
30,2000 Q4,Queensland,$ per megawatt hour,43
31,2000 Q4,South Australia,$ per megawatt hour,56
32,2000 Q4,Victoria,$ per megawatt hour,36
33,2001 Q1,New South Wales,$ per megawatt hour,52
34,2001 Q1,Queensland,$ per megawatt hour,56
35,2001 Q1,South Australia,$ per megawatt hour,109
36,2001 Q1,Victoria,$ per megawatt hour,72
37,2001 Q2,New South Wales,$ per megawatt hour,34
38,2001 Q2,Queensland,$ per megawatt hour,34
39,2001 Q2,South Australia,$ per megawatt hour,36
40,2001 Q2,Victoria,$ per megawatt hour,32
41,2001 Q3,New South Wales,$ per megawatt hour,30
42,2001 Q3,Queensland,$ per megawatt hour,27
43,2001 Q3,South Australia,$ per megawatt hour,28
44,2001 Q3,Victoria,$ per megawatt hour,27
45,2001 Q4,New South Wales,$ per megawatt hour,28
46,2001 Q4,Queensland,$ per megawatt hour,31
47,2001 Q4,South Australia,$ per megawatt hour,27
48,2001 Q4,Victoria,$ per megawatt hour,28
49,2002 Q1,New South Wales,$ per megawatt hour,28
50,2002 Q1,Queensland,$ per megawatt hour,35
51,2002 Q1,South Australia,$ per megawatt hour,29
52,2002 Q1,Victoria,$ per megawatt hour,27
53,2002 Q2,New South Wales,$ per megawatt hour,66
54,2002 Q2,Queensland,$ per megawatt hour,58
55,2002 Q2,South Australia,$ per megawatt hour,50
56,2002 Q2,Victoria,$ per megawatt hour,49
57,2002 Q3,New South Wales,$ per megawatt hour,43
58,2002 Q3,Queensland,$ per megawatt hour,54
59,2002 Q3,South Australia,$ per megawatt hour,40
60,2002 Q3,Victoria,$ per megawatt hour,38
61,2002 Q4,New South Wales,$ per megawatt hour,39
