Period,State,Unit,Value
Summer 1998/99,New South Wales, (Megawatts),10275
Summer 1998/99,Queensland, (Megawatts),5994
Summer 1998/99,South Australia, (Megawatts),2427
Summer 1998/99,Victoria, (Megawatts),6670
Summer 1999/00,New South Wales, (Megawatts),10662
Summer 1999/00,Queensland, (Megawatts),6340
Summer 1999/00,South Australia, (Megawatts),2646
Summer 1999/00,Victoria, (Megawatts),7717
Summer 2000/01,New South Wales, (Megawatts),11547
Summer 2000/01,Queensland, (Megawatts),6584
Summer 2000/01,South Australia, (Megawatts),2833
Summer 2000/01,Victoria, (Megawatts),8019
Summer 2001/02,New South Wales, (Megawatts),10982
Summer 2001/02,Queensland, (Megawatts),7045
Summer 2001/02,South Australia, (Megawatts),2500
Summer 2001/02,Victoria, (Megawatts),7581
Summer 2002/03,New South Wales, (Megawatts),12331
Summer 2002/03,Queensland, (Megawatts),7105
Summer 2002/03,South Australia, (Megawatts),2787
Summer 2002/03,Victoria, (Megawatts),8041
Summer 2003/04,New South Wales, (Megawatts),12216
Summer 2003/04,Queensland, (Megawatts),7918
Summer 2003/04,South Australia, (Megawatts),2602
Summer 2003/04,Victoria, (Megawatts),8583
Summer 2004/05,New South Wales, (Megawatts),12854
Summer 2004/05,Queensland, (Megawatts),8189
Summer 2004/05,South Australia, (Megawatts),2625
Summer 2004/05,Victoria, (Megawatts),8492
Summer 2005/06,New South Wales, (Megawatts),13297
Summer 2005/06,Queensland, (Megawatts),8271
Summer 2005/06,South Australia, (Megawatts),2921
Summer 2005/06,Tasmania, (Megawatts),1348
Summer 2005/06,Victoria, (Megawatts),8742
Summer 2006/07,New South Wales, (Megawatts),12868
Summer 2006/07,Queensland, (Megawatts),8625
Summer 2006/07,South Australia, (Megawatts),2958
Summer 2006/07,Tasmania, (Megawatts),1556
Summer 2006/07,Victoria, (Megawatts),9080
Summer 2007/08,New South Wales, (Megawatts),12944
Summer 2007/08,Queensland, (Megawatts),8115
Summer 2007/08,South Australia, (Megawatts),3155
Summer 2007/08,Tasmania, (Megawatts),1513
Summer 2007/08,Victoria, (Megawatts),9830
Summer 2008/09,New South Wales, (Megawatts),14097
Summer 2008/09,Queensland, (Megawatts),8697
Summer 2008/09,South Australia, (Megawatts),3391
Summer 2008/09,Tasmania, (Megawatts),1511
Summer 2008/09,Victoria, (Megawatts),10490
Summer 2009/10,New South Wales, (Megawatts),13913
Summer 2009/10,Queensland, (Megawatts),8933
Summer 2009/10,South Australia, (Megawatts),3302
Summer 2009/10,Tasmania, (Megawatts),1460
Summer 2009/10,Victoria, (Megawatts),10088
Summer 2010/11,New South Wales, (Megawatts),14764
Summer 2010/11,Queensland, (Megawatts),8809
Summer 2010/11,South Australia, (Megawatts),3397
Summer 2010/11,Tasmania, (Megawatts),1475
Summer 2010/11,Victoria, (Megawatts),9906
Summer 2011/12,New South Wales, (Megawatts),12072
Summer 2011/12,Queensland, (Megawatts),8699
Summer 2011/12,South Australia, (Megawatts),2978
Summer 2011/12,Tasmania, (Megawatts),1448
Summer 2011/12,Victoria, (Megawatts),9155
Summer 2012/13,New South Wales, (Megawatts),13906
Summer 2012/13,Queensland, (Megawatts),8606
Summer 2012/13,South Australia, (Megawatts),3096
Summer 2012/13,Tasmania, (Megawatts),1415
Summer 2012/13,Victoria, (Megawatts),9760
Summer 2013/14,New South Wales, (Megawatts),12016
Summer 2013/14,Queensland, (Megawatts),8465
Summer 2013/14,South Australia, (Megawatts),3280
Summer 2013/14,Tasmania, (Megawatts),1469
Summer 2013/14,Victoria, (Megawatts),10308
Summer 2014/15,New South Wales, (Megawatts),11874
Summer 2014/15,Queensland, (Megawatts),8969
Summer 2014/15,South Australia, (Megawatts),2806
Summer 2014/15,Tasmania, (Megawatts),1457
Summer 2014/15,Victoria, (Megawatts),8635
Summer 2015/16,New South Wales, (Megawatts),13599
Summer 2015/16,Queensland, (Megawatts),9260
Summer 2015/16,South Australia, (Megawatts),2957
Summer 2015/16,Tasmania, (Megawatts),1461
Summer 2015/16,Victoria, (Megawatts),9523
Summer 2016/17,New South Wales, (Megawatts),14107
Summer 2016/17,Queensland, (Megawatts),9508
Summer 2016/17,South Australia, (Megawatts),3085
Summer 2016/17,Tasmania, (Megawatts),1479
Summer 2016/17,Victoria, (Megawatts),8730
Summer 2017/18,New South Wales, (Megawatts),13081
Summer 2017/18,Queensland, (Megawatts),9922
Summer 2017/18,South Australia, (Megawatts),2962
Summer 2017/18,Tasmania, (Megawatts),1412
Summer 2017/18,Victoria, (Megawatts),9159
Summer 2018/19,New South Wales, (Megawatts),13861
Summer 2018/19,Queensland, (Megawatts),10179
Summer 2018/19,South Australia, (Megawatts),3244
Summer 2018/19,Tasmania, (Megawatts),1395
Summer 2018/19,Victoria, (Megawatts),9318
Summer 2019/20,New South Wales, (Megawatts),13827
Summer 2019/20,Queensland, (Megawatts),9971
Summer 2019/20,South Australia, (Megawatts),3221
Summer 2019/20,Tasmania, (Megawatts),1444
Summer 2019/20,Victoria, (Megawatts),9618
Summer 2020/21,New South Wales, (Megawatts),12535
Summer 2020/21,Queensland, (Megawatts),9581
Summer 2020/21,South Australia, (Megawatts),2834
Summer 2020/21,Tasmania, (Megawatts),1383
Summer 2020/21,Victoria, (Megawatts),8391
Winter 1999,New South Wales, (Megawatts),11424
Winter 1999,Queensland, (Megawatts),5879
Winter 1999,South Australia, (Megawatts),1921
Winter 1999,Victoria, (Megawatts),6745
Winter 2000,New South Wales, (Megawatts),11822
Winter 2000,Queensland, (Megawatts),6343
Winter 2000,South Australia, (Megawatts),2142
Winter 2000,Victoria, (Megawatts),7113
