Financial year,State,Unit,Value
1998-99,New South Wales,$ per megawatt hour,25
1998-99,Queensland,$ per megawatt hour,60
1998-99,Snowy,$ per megawatt hour,19
1998-99,South Australia,$ per megawatt hour,54
1998-99,Victoria,$ per megawatt hour,27
1999-00,New South Wales,$ per megawatt hour,30
1999-00,Queensland,$ per megawatt hour,49
1999-00,Snowy,$ per megawatt hour,24
1999-00,South Australia,$ per megawatt hour,69
1999-00,Victoria,$ per megawatt hour,28
2000-01,New South Wales,$ per megawatt hour,41
2000-01,Queensland,$ per megawatt hour,45
2000-01,Snowy,$ per megawatt hour,35
2000-01,South Australia,$ per megawatt hour,67
2000-01,Victoria,$ per megawatt hour,49
2001-02,New South Wales,$ per megawatt hour,38
2001-02,Queensland,$ per megawatt hour,38
2001-02,Snowy,$ per megawatt hour,27
2001-02,South Australia,$ per megawatt hour,34
2001-02,Victoria,$ per megawatt hour,33
2002-03,New South Wales,$ per megawatt hour,37
2002-03,Queensland,$ per megawatt hour,41
2002-03,Snowy,$ per megawatt hour,27
2002-03,South Australia,$ per megawatt hour,33
2002-03,Victoria,$ per megawatt hour,30
2003-04,New South Wales,$ per megawatt hour,37
2003-04,Queensland,$ per megawatt hour,31
2003-04,Snowy,$ per megawatt hour,22
2003-04,South Australia,$ per megawatt hour,39
2003-04,Victoria,$ per megawatt hour,27
2004-05,New South Wales,$ per megawatt hour,46
2004-05,Queensland,$ per megawatt hour,31
2004-05,Snowy,$ per megawatt hour,26
2004-05,South Australia,$ per megawatt hour,39
2004-05,Victoria,$ per megawatt hour,29
2005-06,New South Wales,$ per megawatt hour,43
2005-06,Queensland,$ per megawatt hour,31
2005-06,Snowy,$ per megawatt hour,29
2005-06,South Australia,$ per megawatt hour,44
2005-06,Tasmania,$ per megawatt hour,59
2005-06,Victoria,$ per megawatt hour,36
2006-07,New South Wales,$ per megawatt hour,67
2006-07,Queensland,$ per megawatt hour,57
2006-07,Snowy,$ per megawatt hour,38
2006-07,South Australia,$ per megawatt hour,59
2006-07,Tasmania,$ per megawatt hour,51
2006-07,Victoria,$ per megawatt hour,61
2007-08,New South Wales,$ per megawatt hour,44
2007-08,Queensland,$ per megawatt hour,58
2007-08,Snowy,$ per megawatt hour,31
2007-08,South Australia,$ per megawatt hour,101
2007-08,Tasmania,$ per megawatt hour,57
2007-08,Victoria,$ per megawatt hour,51
2008-09,New South Wales,$ per megawatt hour,43
2008-09,Queensland,$ per megawatt hour,36
2008-09,South Australia,$ per megawatt hour,69
2008-09,Tasmania,$ per megawatt hour,62
2008-09,Victoria,$ per megawatt hour,49
2009-10,New South Wales,$ per megawatt hour,52
2009-10,Queensland,$ per megawatt hour,37
2009-10,South Australia,$ per megawatt hour,83
2009-10,Tasmania,$ per megawatt hour,30
2009-10,Victoria,$ per megawatt hour,42
2010-11,New South Wales,$ per megawatt hour,43
2010-11,Queensland,$ per megawatt hour,34
2010-11,South Australia,$ per megawatt hour,42
2010-11,Tasmania,$ per megawatt hour,31
2010-11,Victoria,$ per megawatt hour,29
2011-12,New South Wales,$ per megawatt hour,31
2011-12,Queensland,$ per megawatt hour,30
2011-12,South Australia,$ per megawatt hour,32
2011-12,Tasmania,$ per megawatt hour,33
2011-12,Victoria,$ per megawatt hour,28
2012-13,New South Wales,$ per megawatt hour,56
2012-13,Queensland,$ per megawatt hour,70
2012-13,South Australia,$ per megawatt hour,74
2012-13,Tasmania,$ per megawatt hour,49
2012-13,Victoria,$ per megawatt hour,61
2013-14,New South Wales,$ per megawatt hour,53
2013-14,Queensland,$ per megawatt hour,61
2013-14,South Australia,$ per megawatt hour,68
2013-14,Tasmania,$ per megawatt hour,42
2013-14,Victoria,$ per megawatt hour,54
2014-15,New South Wales,$ per megawatt hour,36
2014-15,Queensland,$ per megawatt hour,61
2014-15,South Australia,$ per megawatt hour,42
2014-15,Tasmania,$ per megawatt hour,37
2014-15,Victoria,$ per megawatt hour,32
2015-16,New South Wales,$ per megawatt hour,54
2015-16,Queensland,$ per megawatt hour,64
2015-16,South Australia,$ per megawatt hour,67
2015-16,Tasmania,$ per megawatt hour,97
2015-16,Victoria,$ per megawatt hour,50
2016-17,New South Wales,$ per megawatt hour,88
2016-17,Queensland,$ per megawatt hour,103
2016-17,South Australia,$ per megawatt hour,123
2016-17,Tasmania,$ per megawatt hour,76
2016-17,Victoria,$ per megawatt hour,70
2017-18,New South Wales,$ per megawatt hour,85
2017-18,Queensland,$ per megawatt hour,75
2017-18,South Australia,$ per megawatt hour,109
2017-18,Tasmania,$ per megawatt hour,88
2017-18,Victoria,$ per megawatt hour,99
2018-19,New South Wales,$ per megawatt hour,92
2018-19,Queensland,$ per megawatt hour,83
2018-19,South Australia,$ per megawatt hour,128
2018-19,Tasmania,$ per megawatt hour,88
2018-19,Victoria,$ per megawatt hour,124
2019-20,New South Wales,$ per megawatt hour,79
2019-20,Queensland,$ per megawatt hour,56
2019-20,South Australia,$ per megawatt hour,73
2019-20,Tasmania,$ per megawatt hour,56
2019-20,Victoria,$ per megawatt hour,84
2020-21,New South Wales,$ per megawatt hour,72
2020-21,Queensland,$ per megawatt hour,66
2020-21,South Australia,$ per megawatt hour,53
2020-21,Tasmania,$ per megawatt hour,45
2020-21,Victoria,$ per megawatt hour,51
